Código;ABEV3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;Ambev;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Bebidas;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .ABEV3;Valor de Mercado (R$) Milhão .ABEV3;EV R$ Consolidado  Milhão .ABEV3;%Val Merc Vs EV .ABEV3;D/(d+E) Patr Liquido % Consolidado .ABEV3;P/L Anos Consolidado  Trimestre .ABEV3;P/VPA x Consolidado .ABEV3;EV/EBITDA x Consolidado  Trimestre .ABEV3;P/Ebitda x Consolidado  Trimestre .ABEV3;PSR x Consolidado  Trimestre .ABEV3; .ABEV3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .ABEV3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Bruta % Consolidado  Trimestre .ABEV3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Ebit % Consolidado  Trimestre .ABEV3;Ebitda R$ Consolidado  Trimestre  Milhão .ABEV3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Líquida % Consolidado  Trimestre .ABEV3;LPA R$ Consolidado  Trimestre  Unidade .ABEV3;VPA R$ Consolidado  Unidade .ABEV3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .ABEV3; .ABEV3;Ativo Total R$ Consolidado  Milhão .ABEV3;Patrimônio Liquido R$ Consolidado  Milhão .ABEV3;Dívida Bruta R$ Consolidado  Milhão .ABEV3;Dívida Líquida R$ Consolidado  Milhão .ABEV3;Caixa R$.ABEV3;Capital de Giro R$ Consolidado  Milhão .ABEV3;Div Bruta/Ativo Total % Consolidado .ABEV3;Div Bruta/Patrim Liquido % Consolidado .ABEV3;Ebit/DIv Bruta % Consolidado  Trimestre .ABEV3;Div Líquida/Ebitda x Consolidado  Trimestre .ABEV3;Div CP/Div Total % Consolidado .ABEV3; .ABEV3;Ações Emitidas Milhar .ABEV3;Ações Outstanding Milhar .ABEV3;Ações Tesouraria Milhar .ABEV3;Ações Outstanding Média Trimestre  Milhar .ABEV3
set-14;11,33;251.793;249.261;;0,99;89,45;5,94;60,98;61,57;29,18;;8.624;5.669;65,73;3.493;40,51;4.087;2.814;33,52;0,18;2,70;0,26;;65.126;42.395;2.514;-3.761;;856;3,86;5,76;138,96;-0,92;31,62;;15.699.508;15.697.835;1.673;15.689.641
dez-14;11,72;256.895;250.505;102,55%;1,01;56,58;6,08;36,98;37,91;20,99;;12.233;8.423;68,86;6.064;49,57;6.774;4.538;38,09;0,29;2,69;0,43;;72.143;42.222;2.623;-7.812;10.435;-1.096;3,64;6,01;231,20;-1,15;37,67;;15.699.508;15.697.835;1.673;15.706.839
mar-15;13,47;289.917;286.394;101,23%;0,92;103,14;6,54;56,52;57,21;26,92;;10.769;7.155;66,44;4.396;40,82;5.068;2.811;27,51;0,18;2,82;0,32;;75.101;44.318;2.691;-5.317;8.008;-2.527;3,58;5,84;163,36;-1,05;36,96;;15.717.615;15.713.667;3.948;15.712.225
jun-15;14,02;299.818;296.543;101,10%;0,88;119,64;6,78;76,29;77,21;30,29;;9.910;6.135;61,91;3.123;31,51;3.887;2.509;26,14;0,16;2,82;0,25;;74.436;44.190;2.666;-5.010;7.676;-2.368;3,58;5,81;117,14;-1,29;39,70;;15.717.615;15.697.268;20.347;15.713.419
set-15;14,37;304.503;299.117;101,80%;0,97;103,31;6,31;60,16;61,31;28,37;;10.745;7.001;65,16;4.218;39,26;4.972;2.951;28,54;0,19;3,08;0,32;;88.043;48.275;2.986;-7.414;10.400;-4.220;3,39;5,94;141,29;-1,49;33,41;;15.717.615;15.679.851;37.764;15.697.004
dez-15;13,32;279.979;271.745;103,03%;1,27;67,38;5,79;34,27;35,30;18,30;;15.296;10.367;67,78;7.044;46,05;7.930;4.154;27,84;0,26;3,08;0,51;;90.176;48.332;3.599;-10.236;13.835;-1.827;3,99;7,15;195,70;-1,29;35,63;;15.717.615;15.679.851;37.764;15.679.851
mar-16;14,14;295.371;295.057;100,11%;1,32;106,69;6,27;56,04;56,06;25,52;;11.565;7.605;65,76;4.402;38,06;5.266;2.767;25,02;0,18;3,00;0,34;;80.248;47.078;3.960;-2.257;6.216;-2.830;4,93;8,08;111,16;-0,43;42,08;;15.717.615;15.694.525;23.090;15.685.239
jun-16;14,31;299.056;298.458;100,20%;1,20;146,12;6,75;71,35;71,48;28,81;;10.377;6.483;62,47;3.299;31,79;4.183;2.046;20,94;0,13;2,82;0,27;;76.657;44.301;3.633;-2.360;5.994;-3.333;4,74;7,89;90,80;-0,56;45,83;;15.717.615;15.698.489;19.126;15.694.585
set-16;14,99;311.166;309.548;100,52%;1,33;101,64;6,56;77,87;78,28;29,68;;10.483;6.267;59,79;3.127;29,83;3.975;3.061;30,37;0,20;3,02;0,25;;79.110;47.432;4.209;-3.350;7.560;-1.886;5,32;8,56;74,30;-0,84;59,81;;15.717.615;15.699.593;18.022;15.698.506
dez-16;12,68;257.473;256.536;100,37%;2,05;55,11;5,74;35,68;35,81;19,54;;13.177;8.570;65,03;6.272;47,60;7.189;4.672;36,68;0,30;2,86;0,46;;83.841;44.825;5.396;-2.763;8.160;-4.887;6,44;11,57;116,23;-0,38;67,28;;15.717.615;15.699.593;18.022;15.699.593
mar-17;14,16;286.421;286.150;100,09%;1,76;130,23;6,11;66,11;66,16;25,48;;11.242;6.719;59,76;3.501;31,14;4.329;2.199;20,37;0,14;2,98;0,28;;80.734;46.845;5.133;-2.107;7.240;-2.607;6,36;10,54;68,21;-0,49;67,59;;15.717.615;15.702.901;14.714;15.701.131
jun-17;14,34;287.598;285.713;100,66%;1,68;142,82;6,02;72,95;73,41;28,00;;10.268;6.220;60,57;3.044;29,65;3.917;2.013;20,69;0,13;3,04;0,25;;84.124;47.769;4.918;-3.848;8.766;-2.973;5,85;9,89;61,90;-0,98;73,02;;15.717.615;15.707.176;10.439;15.702.966
set-17;16,48;330.479;327.234;100,99%;1,00;1.481.968,53;7,01;72,29;73,00;29,09;;11.362;6.880;60,55;3.609;31,76;4.527;0;1,20;0,00;3,00;0,29;;83.020;47.166;3.330;-5.019;8.349;-1.251;4,01;6,80;108,40;-1,11;59,13;;15.717.615;15.707.176;10.439;15.707.176
dez-17;16,92;334.262;328.423;101,78%;0,76;107,15;7,27;45,21;46,02;22,24;;15.027;10.039;66,80;6.269;41,72;7.264;3.119;21,96;0,20;2,93;0,46;;86.852;46.009;2.553;-7.813;10.366;-3.970;2,94;5,32;245,57;-1,08;51,75;;15.717.615;15.707.176;10.439;15.707.807
