Código;B3SA3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;B3;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Financeiros Diversos;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .B3SA3;Valor de Mercado (R$) Milhão .B3SA3;EV R$ Consolidado  Milhão .B3SA3;%Val Merc Vs EV .B3SA3;D/(d+E) Patr Liquido % Consolidado .B3SA3;P/L Anos Consolidado  Trimestre .B3SA3;P/VPA x Consolidado .B3SA3;EV/EBITDA x Consolidado  Trimestre .B3SA3;P/Ebitda x Consolidado  Trimestre .B3SA3;PSR x Consolidado  Trimestre .B3SA3; .B3SA3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Bruta % Consolidado  Trimestre .B3SA3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Ebit % Consolidado  Trimestre .B3SA3;Ebitda R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Líquida % Consolidado  Trimestre .B3SA3;LPA R$ Consolidado  Trimestre  Unidade .B3SA3;VPA R$ Consolidado  Unidade .B3SA3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .B3SA3; .B3SA3;Ativo Total R$ Consolidado  Milhão .B3SA3;Patrimônio Liquido R$ Consolidado  Milhão .B3SA3;Dívida Bruta R$ Consolidado  Milhão .B3SA3;Dívida Líquida R$ Consolidado  Milhão .B3SA3;Caixa R$.B3SA3;Capital de Giro R$ Consolidado  Milhão .B3SA3;Div Bruta/Ativo Total % Consolidado .B3SA3;Div Bruta/Patrim Liquido % Consolidado .B3SA3;Ebit/DIv Bruta % Consolidado  Trimestre .B3SA3;Div Líquida/Ebitda x Consolidado  Trimestre .B3SA3;Div CP/Div Total % Consolidado .B3SA3; .B3SA3;Ações Emitidas Milhar .B3SA3;Ações Outstanding Milhar .B3SA3;Ações Tesouraria Milhar .B3SA3;Ações Outstanding Média Trimestre  Milhar .B3SA3
set-14;2,52;20.487;19.308;;6,88;85,86;1,08;44,78;47,47;37,49;;546;546;100,00;402;73,57;431;238;43,72;0,04;3,45;0,08;;25.240;18.950;1.513;-1.194;;1.137;5,99;7,98;26,55;-2,77;1,31;;1.900.000;1.830.855;69.145;1.829.362
dez-14;2,24;17.811;17.023;104,63%;8,56;77,59;0,94;44,36;46,99;34,02;;530;530;100,00;352;66,36;384;232;43,92;0,04;3,50;0,07;;25.538;18.980;1.666;-796;2.463;893;6,53;8,78;21,10;-2,08;2,84;;1.900.000;1.830.855;69.145;1.830.855
mar-15;2,54;20.104;19.236;104,51%;8,98;72,20;1,03;51,09;53,59;38,77;;520;520;100,00;346;66,46;377;279;53,75;0,05;3,61;0,07;;26.498;19.529;1.983;-877;2.860;903;7,48;10,15;17,44;-2,33;1,30;;1.815.000;1.801.392;13.608;1.808.073
jun-15;2,72;20.994;20.430;102,76%;8,49;66,39;1,08;48,06;49,66;38,06;;555;555;100,00;397;71,57;425;318;57,38;0,06;3,61;0,08;;26.198;19.418;1.948;-573;2.522;879;7,44;10,03;20,37;-1,35;2,86;;1.815.000;1.791.262;23.738;1.801.239
set-15;2,60;19.746;10.830;182,33%;11,07;9,86;1,01;3,72;6,81;33,17;;598;598;100,00;2.888;482,75;2.915;2.013;336,43;0,37;3,67;0,54;;31.000;19.612;2.457;-8.926;11.383;6.772;7,93;12,52;117,53;-3,06;1,30;;1.815.000;1.782.095;32.905;1.791.123
dez-15;2,65;19.407;13.632;142,36%;11,23;-47,60;1,06;-10,43;-14,85;35,73;;543;543;100,00;-1.333;-245,36;-1.307;-408;-75,01;-0,08;3,43;-0,24;;26.309;18.342;2.454;-5.785;8.239;6.577;9,33;13,37;-54,31;;2,86;;1.815.000;1.782.095;32.905;1.782.095
mar-16;3,75;27.475;20.994;130,87%;7,48;80,78;1,47;54,49;71,14;48,64;;564;564;100,00;361;64,15;385;339;60,24;0,06;3,49;0,07;;26.707;18.691;2.222;-6.491;8.713;5.962;8,32;11,88;16,27;-16,85;1,32;;1.815.000;1.786.432;28.568;1.782.162
jun-16;4,41;32.173;25.869;124,37%;5,93;-281,08;1,74;78,52;97,60;55,97;;574;574;100,00;306;53,21;329;-114;-19,87;-0,02;3,45;0,06;;26.804;18.516;2.028;-6.314;8.342;5.408;7,56;10,94;15,08;-19,17;2,91;;1.815.000;1.787.390;27.610;1.786.447
set-16;4,15;30.047;23.318;128,86%;6,30;102,38;1,61;168,80;217,51;53,74;;559;559;100,00;113;20,21;138;293;52,34;0,05;3,47;0,03;;27.153;18.607;2.020;-6.739;8.759;5.570;7,44;10,85;5,59;-48,78;1,31;;1.815.000;1.787.430;27.570;1.787.391
dez-16;4,14;29.493;23.677;124,56%;15,63;31,79;1,55;69,63;86,74;47,29;;624;624;100,00;314;50,42;340;928;148,81;0,17;3,56;0,06;;31.156;19.066;5.464;-5.825;11.289;7.955;17,54;28,64;5,75;-17,13;8,24;;1.815.000;1.787.430;27.570;1.787.430
