Código;BBAS3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;Banco Do Brasil;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Bancos;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .BBAS3;Valor de Mercado (R$) Milhão .BBAS3;EV R$ Consolidado  Milhão .BBAS3;%Val Merc Vs EV .BBAS3;D/(d+E) Patr Liquido % Consolidado .BBAS3;P/L Anos Consolidado  Trimestre .BBAS3;P/VPA x Consolidado .BBAS3;EV/EBITDA x Consolidado  Trimestre .BBAS3;P/Ebitda x Consolidado  Trimestre .BBAS3;PSR x Consolidado  Trimestre .BBAS3; .BBAS3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .BBAS3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Bruta % Consolidado  Trimestre .BBAS3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Ebit % Consolidado  Trimestre .BBAS3;Ebitda R$ Consolidado  Trimestre  Milhão .BBAS3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Líquida % Consolidado  Trimestre .BBAS3;LPA R$ Consolidado  Trimestre  Unidade .BBAS3;VPA R$ Consolidado  Unidade .BBAS3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .BBAS3; .BBAS3;Ativo Total R$ Consolidado  Milhão .BBAS3;Patrimônio Liquido R$ Consolidado  Milhão .BBAS3;Dívida Bruta R$ Consolidado  Milhão .BBAS3;Dívida Líquida R$ Consolidado  Milhão .BBAS3;Caixa R$.BBAS3;Capital de Giro R$ Consolidado  Milhão .BBAS3;Div Bruta/Ativo Total % Consolidado .BBAS3;Div Bruta/Patrim Liquido % Consolidado .BBAS3;Ebit/DIv Bruta % Consolidado  Trimestre .BBAS3;Div Líquida/Ebitda x Consolidado  Trimestre .BBAS3;Div CP/Div Total % Consolidado .BBAS3; .BBAS3;Ações Emitidas Milhar .BBAS3;Ações Outstanding Milhar .BBAS3;Ações Tesouraria Milhar .BBAS3;Ações Outstanding Média Trimestre  Milhar .BBAS3
set-14;6,27;70.769;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;;;;;;;;;2.865.417;2.797.175;68.242;2.798.856
dez-14;5,99;66.489;;;;;0,81;;;;;;;;;;;0;;0,00;29,24;;;1.278.137;81.785;;;0;;;;;;;;2.865.417;2.797.175;68.242;2.797.175
mar-15;5,89;64.060;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.796.166;69.251;2.796.529
jun-15;6,44;67.891;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.796.177;69.240;2.796.166
set-15;4,13;42.447;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.792.553;72.864;2.796.120
dez-15;4,10;41.162;;;;;0,50;;;;;;;;;;;0;;0,00;29,56;;;1.388.865;82.557;;;0;;;;;;;;2.865.417;2.792.553;72.864;2.792.553
mar-16;5,56;55.214;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.792.815;72.602;2.792.557
jun-16;4,91;47.842;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.784.751;80.666;2.792.689
set-16;6,59;63.492;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.784.751;80.666;2.784.751
dez-16;8,18;78.224;;;;;0,90;;;;;;;;;;;0;;0,00;31,02;;;1.387.216;86.376;;;0;;;;;;;;2.865.417;2.784.751;80.666;2.784.751
mar-17;9,86;94.045;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.784.861;80.556;2.784.752
jun-17;7,90;74.637;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.784.954;80.463;2.784.863
set-17;10,39;97.195;;;;;;;;;;;;;;;;0;;0,00;0,00;;;0;0;;;0;;;;;;;;2.865.417;2.784.954;80.463;2.784.954
dez-17;9,56;88.617;;;;;0,91;;;;;;;;;;;0;;0,00;34,96;;;1.353.075;97.357;;;0;;;;;;;;2.865.417;2.784.954;80.463;2.784.954
mar-18;12,42;114.267;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.784.954;80.463;2.784.954
jun-18;8,76;79.797;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.784.954;80.463;2.785.223
set-18;9,11;82.025;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.785.223;80.194;2.785.235
dez-18;14,57;129.499;;;;;1,27;;;;;;;;;;;0;;0,00;36,58;;;1.396.507;101.893;;;0;;;;;;;;2.865.417;2.785.235;80.182;2.785.531
mar-19;15,48;135.711;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.785.531;79.886;2.785.531
jun-19;17,34;150.302;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.785.531;79.886;2.786.458
