Dates,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,B3SA3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index,ABEV3 Index
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,PX_TO_BOOK_RATIO,BS_CUR_LIAB,CUR_MKT_CAP,EBITDA,NET_INCOME,PE_RATIO,EV_EBITDA,DEBT_TO_EBITDA,GROSS_MARGIN,EBIT_MARGIN,LIQ_RATIO,ROE,ROA,ASSET_TURNOVER,CAPEX,FCF,ROIC,NET_DEBT,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,PX_TO_BOOK_RATIO,BS_CUR_LIAB,CUR_MKT_CAP,EBITDA,NET_INCOME,PE_RATIO,EV_EBITDA,DEBT_TO_EBITDA,GROSS_MARGIN,EBIT_MARGIN,LIQ_RATIO,ROE,ROA,ASSET_TURNOVER,CAPEX,FCF,ROIC,NET_DEBT
2023-12-11,13.5,13.93,13.48,13.93,39856100,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.24,14.39,14.22,14.32,11080900,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-12,14.0,14.0,13.8,13.85,44275900,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.28,14.34,14.18,14.23,10541600,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-13,13.79,14.56,13.61,14.43,64190500,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.27,14.8,14.14,14.7,53960800,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-14,14.6,15.13,14.55,14.83,69818600,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.85,14.87,14.3,14.5,60791700,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-15,14.9,14.95,14.5,14.67,52175400,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.5,14.57,14.39,14.47,33747300,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-18,14.66,14.95,14.61,14.74,22756700,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.5,14.64,14.43,14.55,24363100,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-19,14.75,14.91,14.52,14.55,30892100,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,14.59,14.78,14.55,14.7,32674700,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-20,14.51,14.65,14.16,14.17,34277600,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,13.94,13.95,13.67,13.74,24316200,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
2023-12-21,14.48,14.57,14.3,14.49,29293900,3.39,-2873.0,67292.0,950.0,38.5,70.86,42.85,8.68,1224.0,49.61,70.85,38.5,0.0,11.79,11.79,11.79,11.79,11.79,13.82,13.82,13.59,13.7,28969600,2.27,-10104.0,196711.0,3700.0,18.76,53.16,28.77,127.87,4881.0,24.07,4.37,18.76,0.0,12.49,12.49,12.49,12.49,12.49
